	sample1	sample2	sample3	sample4
DDX11L1	2	0	0	0
WASH7P	184	97	79	111
MIR6859-1	4	2	2	5
MIR1302-2HG	1	2	2	4
MIR1302-2	0	0	0	0
FAM138A	0	0	0	0
OR4F5	0	0	0	0
LOC124903816	1	0	0	0
LOC124900384	5	3	19	12
LOC729737	9	19	119	43
LOC124903814	0	0	0	0
DDX11L17	4	11	11	2
LOC100996442	92	88	89	65
MIR6859-2	1	1	1	0
LOC127239154	11	14	0	0
LOC124903815	7	2	1	0
LOC124900618	3	1	1	0
LOC112268260	0	0	0	0
OR4F29	1	0	0	0
LOC100132287	22	13	19	7
LOC124904706	0	0	0	2
LOC105378947	1	2	0	0
LOC101928626	0	0	0	0
MIR12136	29	17	6	9
OR4F16	6	8	3	1
LOC100288069	104	137	73	60
LINC01409	58	152	77	39
LOC124903817	60	68	12	6
FAM87B	47	64	17	7
LINC00115	53	51	49	51
LINC01128	2450	1676	201	242
LOC107984850	13	8	1	0
FAM41C	3	3	1	1
LOC284600	108	281	20	16
LINC02593	23	48	0	0
LOC107985728	80	176	0	2
SAMD11	393	556	22	19
NOC2L	1873	1441	4742	6410
KLHL17	192	234	665	615
PLEKHN1	4	12	27	24
PERM1	3	3	0	0
HES4	1155	1025	39	38
ISG15	185	183	287	371
AGRN	6753	7257	7332	8316
LOC100288175	0	4	44	22
LOC105378948	8	7	17	5
RNF223	1	4	3	1
C1orf159	241	263	362	361
LOC124903819	7	16	0	1
LOC124903820	7	12	25	19
LINC01342	1	4	3	2
LOC124903818	2	58	71	116
MIR200B	0	0	0	0
MIR200A	0	0	0	0
MIR429	0	0	0	0
TTLL10-AS1	0	3	5	2
TTLL10	4	14	14	10
TNFRSF18	5	6	14	18
TNFRSF4	40	20	7	2
SDF4	2470	2185	2183	2506
B3GALT6	1067	988	759	1068
C1QTNF12	30	44	57	30
UBE2J2	945	980	1491	1772
SCNN1D	189	208	64	59
ACAP3	1707	1633	784	1022
MIR6726	0	0	0	0
SNORD167	14	20	9	7
PUSL1	259	221	927	1133
INTS11	1833	1704	2205	2700
MIR6727	0	0	0	0
CPTP	746	532	334	460
