	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5	day30_rep2_tbx5	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe
DDX11L1	1	0	0	0	0	0
WASH7P	356	374	420	624	484	466
MIR6859-1	2	4	1	1	1	2
MIR1302-2HG	0	0	0	0	0	4
MIR1302-2	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
LOC124903816	0	7	1	1	0	0
LOC124900384	2	5	8	20	13	10
LOC729737	114	180	349	514	75	117
LOC124903814	0	0	0	0	1	0
DDX11L17	1	3	1	0	2	0
LOC100996442	156	162	174	335	192	153
MIR6859-2	1	0	0	0	0	0
LOC127239154	2	11	5	11	9	10
LOC124903815	0	1	0	0	1	0
LOC124900618	1	2	1	4	2	1
LOC112268260	2	1	0	0	0	0
OR4F29	0	0	2	2	0	0
LOC100132287	14	21	30	34	1	3
LOC124904706	0	0	0	1	0	0
LOC105378947	3	5	2	2	3	6
LOC101928626	0	0	0	1	0	0
MIR12136	25	9	9	160	16	17
OR4F16	3	2	17	39	5	7
LOC100288069	130	159	275	289	110	147
LINC01409	30	14	40	59	44	40
LOC124903817	16	6	22	21	12	14
FAM87B	3	1	6	17	4	11
LINC00115	52	31	32	37	41	50
LINC01128	455	893	844	1258	683	893
LOC107984850	1	5	3	2	6	1
FAM41C	0	1	0	1	0	1
LOC284600	145	78	637	875	151	69
LINC02593	47	27	192	465	38	19
LOC107985728	109	45	379	977	72	30
SAMD11	703	226	1459	4989	1006	140
NOC2L	3775	6900	3580	3739	2938	3155
KLHL17	838	803	704	1199	452	349
PLEKHN1	35	57	6	8	8	4
PERM1	3	4	2	4	1	1
HES4	1427	1511	1509	5399	1371	940
ISG15	649	723	365	635	575	556
AGRN	12351	8375	41745	45917	5522	8233
LOC100288175	15	59	9	2	10	12
LOC105378948	18	13	16	24	3	6
RNF223	4	15	3	5	1	1
C1orf159	419	418	474	608	269	294
LOC124903819	1	4	1	3	1	2
LOC124903820	0	2	0	1	0	0
LINC01342	1	0	0	0	0	1
LOC124903818	6	1	1	1	0	0
MIR200B	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR429	0	0	0	0	0	0
TTLL10-AS1	0	1	0	1	2	0
TTLL10	0	4	5	2	3	0
TNFRSF18	1	3	1	5	4	2
TNFRSF4	11	4	12	2	2	5
SDF4	6003	12120	9918	12137	3010	5188
B3GALT6	2017	1843	2157	3599	1102	1360
C1QTNF12	22	36	61	60	11	36
UBE2J2	2618	3834	2377	3099	2122	2676
SCNN1D	77	117	331	491	222	229
ACAP3	1957	1159	2851	3765	2127	2231
MIR6726	0	0	0	0	0	0
SNORD167	2	1	3	5	3	1
PUSL1	585	635	556	601	473	547
INTS11	2564	2825	2821	4186	2311	2605
MIR6727	0	0	0	0	0	1
CPTP	992	982	1133	1674	605	829
TAS1R3	15	169	49	80	54	39
DVL1	2798	2890	2555	4515	1394	2027
MIR6808	0	0	0	0	0	0
MXRA8	3850	1701	4077	4367	385	2828
AURKAIP1	3290	5329	2743	4287	2009	2505
CCNL2	5736	6427	7596	8305	4623	5435
MRPL20-AS1	613	570	715	813	379	480
MRPL20	1520	2265	1396	1706	2138	1901
MRPL20-DT	181	252	124	176	133	122
ANKRD65	4	8	1	4	1	3
ANKRD65-AS1	1	1	0	2	0	4
TMEM88B	14	3	13	10	18	16
LINC01770	5	1	4	10	81	85
LOC107985729	3	1	1	12	35	44
VWA1	963	480	585	888	463	819
ATAD3C	6	19	7	7	13	8
ATAD3B	2387	1647	1493	2316	975	1110
ATAD3A	2395	1905	1882	2632	1278	1601
TMEM240	75	48	116	369	115	118
SSU72	3359	4383	3122	4266	3562	3400
FNDC10	452	62	818	1784	201	338
LOC105378586	4	3	14	41	5	8
MIB2	754	1119	2057	3414	815	1318
LOC124903821	113	165	251	483	42	118
MMP23B	298	88	741	2237	506	541
CDK11B	1614	4012	1556	1954	1507	1775
SLC35E2B	2118	1057	3294	4001	1811	2480
MMP23A	30	8	31	149	20	14
CDK11A	616	1900	561	704	742	947
SLC35E2A	1002	450	2074	2455	548	614
LOC112268218	1	1	4	5	0	2
NADK	2456	2376	2578	2985	1375	1584
GNB1	20236	20727	14348	17069	10936	13574
GNB1-DT	16	20	25	22	23	19
LOC124903822	7	7	12	21	9	18
CALML6	3	1	11	18	5	7
TMEM52	14	46	18	26	10	10
CFAP74	3	5	0	3	5	1
LOC107984872	0	1	0	0	0	0
LOC105378589	2	4	2	0	0	0
GABRD	7	2	1	1	4	3
LOC105378590	2	2	0	0	1	0
PRKCZ	496	1455	1020	789	1027	939
PRKCZ-DT	2	3	1	2	0	1
PRKCZ-AS1	86	68	102	121	68	71
FAAP20	1659	1143	2032	3756	1367	1351
LOC112268219	155	141	168	258	87	148
LOC105378593	0	2	8	13	8	5
LOC124903823	0	3	2	2	1	0
SKI	4196	9374	5740	5953	1986	3563
LOC124903824	48	22	112	198	60	101
MORN1	174	68	379	357	194	252
LOC100129534	31	4	85	89	55	91
RER1	2555	4011	2665	2752	1984	2773
PEX10	421	319	621	1000	557	682
PLCH2	29	19	57	126	25	28
PANK4	962	1837	1349	1919	1359	1519
HES5	1	0	0	1	112	5
TNFRSF14-AS1	0	2	0	1	0	0
TNFRSF14	2	3	1	0	2	3
LOC100996583	1	1	0	1	0	0
PRXL2B	1149	866	1108	1499	747	678
MMEL1	4	2	5	2	2	7
MMEL1-AS1	1	4	1	4	1	0
TTC34	19	4	41	88	22	20
LOC105378602	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0
LOC105378598	0	0	0	0	0	0
LOC107984904	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0
LOC124903825	0	0	0	0	1	0
LOC124903826	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
LOC124903827	28	7	33	135	691	556
PRDM16-DT	0	0	0	0	0	0
PRDM16	80	41	125	509	1502	1183
MIR4251	0	0	0	0	0	0
LOC105378606	0	0	0	1	1	0
LOC107984909	3	3	2	7	38	23
LOC105378605	0	0	0	0	0	2
LOC124903828	5	4	6	14	60	52
LOC105378604	5	2	5	17	102	96
ARHGEF16	511	387	238	216	141	43
MEGF6	2047	499	9711	11845	1094	1649
LOC105378608	3	1	1	1	0	0
MIR551A	0	0	2	1	0	0
TPRG1L	1681	2547	2086	2455	1130	1711
WRAP73	386	926	455	544	320	282
TP73	23	20	58	81	13	19
TP73-AS3	2	4	0	0	2	0
TP73-AS1	1348	1391	2121	2712	1292	1533
CCDC27	7	5	32	55	33	43
SMIM1	36	30	118	197	203	111
LRRC47	2357	4150	3351	4468	3073	3153
CEP104	995	2402	1024	957	1101	1293
LOC124903829	6	10	1	4	5	6
DFFB	219	329	218	264	94	129
C1orf174	818	767	661	650	363	408
LINC01134	16	16	7	6	9	12
LINC01346	0	0	0	0	0	0
LINC01345	1	0	0	0	0	0
LINC01777	0	1	0	0	2	1
LOC105376674	0	0	3	0	0	0
LOC124904578	0	0	0	0	0	0
LINC01646	0	3	0	0	1	1
AJAP1	21	30	128	57	212	77
LINC02781	0	4	0	0	0	0
LOC124904589	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0
LOC124904590	0	0	0	0	0	0
LOC107984911	1	0	0	0	0	0
LOC105376686	0	0	1	0	1	1
LOC124900451	0	0	0	0	0	0
LOC124903830	0	1	0	0	0	0
MIR4689	0	0	0	0	0	0
NPHP4	364	275	446	534	278	336
KCNAB2	65	92	246	334	143	201
LOC124903831	0	1	0	0	0	0
CHD5	23	111	108	223	106	50
RPL22	6235	6443	8642	10531	8672	9964
RNF207-AS1	19	26	94	199	116	76
RNF207	569	444	3873	7755	3751	4349
ICMT	3492	2042	3431	4129	2535	2808
ICMT-DT	21	7	9	8	17	4
HES3	0	2	0	0	3	0
GPR153	402	449	786	1994	486	490
ACOT7	2463	1989	1417	1911	1344	1013
HES2	18	11	7	2	11	4
ESPN	10	20	17	18	6	4
MIR4252	0	0	0	0	0	0
TNFRSF25	101	225	230	354	102	128
PLEKHG5	487	759	979	1902	462	600
NOL9	966	2023	1002	1000	1219	1220
TAS1R1	2	11	2	2	2	2
LOC107984912	0	2	0	0	0	0
ZBTB48	468	981	560	898	686	721
KLHL21	2270	4190	4815	5812	3852	3993
LOC107984913	23	84	117	138	81	74
PHF13	1527	1186	1696	2190	1192	1519
THAP3	394	879	374	535	563	605
DNAJC11	1261	2129	1646	1644	1867	2114
LINC01672	1	0	0	0	0	0
LOC124904847	0	0	0	0	0	0
CAMTA1-DT	33	15	16	54	26	23
CAMTA1	1354	2285	1277	2874	2364	1620
LOC124903832	7	42	9	24	18	21
CAMTA1-AS3	1	0	0	0	0	0
LOC124900385	0	3	0	3	1	1
CAMTA1-AS2	0	0	0	0	0	0
CAMTA1-AS1	0	2	2	0	0	0
LOC105376691	0	0	7	11	0	11
LOC105376689	45	32	10	62	64	25
VAMP3	2583	3000	2304	2479	2313	2956
PER3	59	113	299	540	593	686
LOC124903833	2	3	2	5	4	6
UTS2	9	2	0	0	0	1
TNFRSF9	873	14	20	37	10	17
PARK7	5378	6280	5578	7520	6303	6371
LOC124903834	76	33	14	13	10	10
ERRFI1	12523	3106	2232	2001	831	1847
ERRFI1-DT	16	11	4	12	5	2
LOC107984915	1	7	1	0	1	1
LINC01714	1	2	0	4	1	1
LOC105376695	1	6	2	0	1	1
LOC124903835	1	2	2	0	0	0
SLC45A1	84	63	177	217	49	77
RERE	8230	5509	10289	10122	4400	6498
RERE-AS1	0	3	0	2	6	3
SNORD128	0	2	0	0	0	0
LOC124900452	1	5	0	1	0	0
ENO1	45678	28556	25480	34298	18942	20856
MIR6728	0	0	0	0	0	0
ENO1-AS1	38	46	46	69	16	33
LOC112268261	4	1	0	0	3	0
CA6	0	8	0	0	0	0
SLC2A7	6	12	2	3	1	1
SLC2A5	48	12	17	42	8	9
LOC124900441	0	0	0	0	0	0
GPR157	494	631	248	208	81	175
MIR34AHG	302	745	295	271	440	489
MIR34A	0	0	0	0	0	0
LNCTAM34A	39	35	31	51	77	82
H6PD	1647	598	4561	6446	1555	3154
LOC124903836	9	6	15	15	4	6
SPSB1	4418	1802	3256	3509	152	1623
LINC02606	17	9	49	75	17	43
SLC25A33	515	818	488	563	639	603
TMEM201	623	517	911	1670	700	833
LOC124903837	2	14	3	6	4	5
PIK3CD	678	299	422	334	266	393
LOC105376712	0	0	0	0	0	0
PIK3CD-AS1	0	1	0	0	1	0
PIK3CD-AS2	37	62	62	103	54	43
LOC124903839	3	0	1	1	0	1
CLSTN1	4304	4239	6829	11606	2666	3761
CTNNBIP1	843	504	1112	1851	1481	1461
LOC105376717	0	1	0	2	1	1
LOC124903838	3	1	3	2	1	4
LZIC	1070	1891	1164	1419	2051	1879
NMNAT1	339	1057	540	763	589	730
TMEM274P	0	3	3	3	3	7
MIR5697	0	0	0	3	1	2
LOC124903840	0	0	0	0	0	0
RBP7	26	147	19	14	23	28
UBE4B	1759	2571	2640	3079	2292	2962
KIF1B	4085	6031	4329	4677	8257	8625
PGD	4983	3432	4772	6494	4090	4012
CENPS-CORT	1	8	0	1	2	3
CENPS	12	19	6	17	12	27
CORT	8	46	13	13	14	23
DFFA	2820	5787	2633	2737	2502	3104
PEX14	911	1911	1164	1907	969	1244
CASZ1	1007	1497	2426	5307	3387	3521
LOC105376733	0	0	0	0	0	0
LOC105376735	0	0	0	0	0	0
C1orf127	3	11	8	46	17	23
TARDBP	5160	6515	4648	3934	6432	6134
MASP2	55	120	121	125	81	103
SRM	4463	5603	2916	3995	1094	2058
EXOSC10	1936	2025	1317	1527	2945	2388
EXOSC10-AS1	2	8	4	5	7	2
MTOR	2297	4232	3078	2996	2939	3108
MTOR-AS1	0	3	1	1	0	0
LOC124904848	0	0	0	0	0	0
ANGPTL7	17	11	35	5	61	46
UBIAD1	623	1663	836	996	1059	1300
LOC105376737	0	0	0	0	10	0
LOC105376739	0	2	0	0	1	0
LOC105376740	2	7	0	3	0	3
LOC124903841	0	0	0	0	0	0
DISP3	12	31	13	22	249	15
LOC124903842	0	0	0	0	2	1
LINC01647	2	0	0	0	1	0
FBXO2	1702	5708	2006	1332	160	396
FBXO44	624	1001	1193	2049	846	885
FBXO6	107	334	96	137	127	224
MAD2L2	1181	1230	873	1792	1279	945
DRAXIN	34	18	17	30	1162	34
AGTRAP	567	638	749	1242	651	648
C1orf167	4	3	4	4	1	1
C1orf167-AS1	0	3	1	0	0	1
MTHFR	651	685	1593	3110	2009	2277
CLCN6	950	1729	878	1509	1320	1188
NPPA-AS1	18	10	9	3	7	23
NPPA	766	1412	1603	5689	31401	26974
