	day30_rep3_tbx5_ge	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe
DDX11L1	0	1	1	0	0
WASH7P	374	304	356	484	466
MIR6859-1	4	4	2	1	2
MIR1302-2HG	0	0	0	0	4
MIR1302-2	0	0	0	0	0
FAM138A	0	0	0	0	0
OR4F5	0	0	0	0	0
LOC124903816	7	0	0	0	0
LOC124900384	5	1	2	13	10
LOC729737	180	107	114	75	117
LOC124903814	0	0	0	1	0
DDX11L17	3	1	1	2	0
LOC100996442	162	142	156	192	153
MIR6859-2	0	0	1	0	0
LOC127239154	11	0	2	9	10
LOC124903815	1	0	0	1	0
LOC124900618	2	0	1	2	1
LOC112268260	1	0	2	0	0
OR4F29	0	2	0	0	0
LOC100132287	21	13	14	1	3
LOC124904706	0	0	0	0	0
LOC105378947	5	1	3	3	6
LOC101928626	0	0	0	0	0
MIR12136	9	52	25	16	17
OR4F16	2	12	3	5	7
LOC100288069	159	124	130	110	147
LINC01409	14	50	30	44	40
LOC124903817	6	12	16	12	14
FAM87B	1	6	3	4	11
LINC00115	31	36	52	41	50
LINC01128	893	762	455	683	893
LOC107984850	5	7	1	6	1
FAM41C	1	5	0	0	1
LOC284600	78	257	145	151	69
LINC02593	27	177	47	38	19
LOC107985728	45	310	109	72	30
SAMD11	226	1249	703	1006	140
NOC2L	6900	2094	3775	2938	3155
KLHL17	803	690	838	452	349
PLEKHN1	57	5	35	8	4
PERM1	4	1	3	1	1
HES4	1511	1171	1427	1371	940
ISG15	723	349	649	575	556
AGRN	8375	19080	12351	5522	8233
LOC100288175	59	4	15	10	12
LOC105378948	13	11	18	3	6
RNF223	15	0	4	1	1
C1orf159	418	291	419	269	294
LOC124903819	4	3	1	1	2
LOC124903820	2	3	0	0	0
LINC01342	0	1	1	0	1
LOC124903818	1	1	6	0	0
MIR200B	0	0	0	0	0
MIR200A	0	0	0	0	0
MIR429	0	0	0	0	0
TTLL10-AS1	1	1	0	2	0
TTLL10	4	1	0	3	0
TNFRSF18	3	0	1	4	2
TNFRSF4	4	2	11	2	5
SDF4	12120	6625	6003	3010	5188
B3GALT6	1843	1655	2017	1102	1360
C1QTNF12	36	24	22	11	36
UBE2J2	3834	1817	2618	2122	2676
SCNN1D	117	194	77	222	229
ACAP3	1159	1934	1957	2127	2231
MIR6726	0	0	0	0	0
SNORD167	1	4	2	3	1
PUSL1	635	337	585	473	547
INTS11	2825	2393	2564	2311	2605
MIR6727	0	0	0	0	1
CPTP	982	798	992	605	829
TAS1R3	169	29	15	54	39
DVL1	2890	2260	2798	1394	2027
MIR6808	0	0	0	0	0
MXRA8	1701	5631	3850	385	2828
AURKAIP1	5329	2220	3290	2009	2505
CCNL2	6427	5752	5736	4623	5435
MRPL20-AS1	570	466	613	379	480
MRPL20	2265	1268	1520	2138	1901
MRPL20-DT	252	112	181	133	122
ANKRD65	8	4	4	1	3
ANKRD65-AS1	1	1	1	0	4
TMEM88B	3	6	14	18	16
LINC01770	1	5	5	81	85
LOC107985729	1	1	3	35	44
VWA1	480	508	963	463	819
ATAD3C	19	2	6	13	8
ATAD3B	1647	836	2387	975	1110
ATAD3A	1905	995	2395	1278	1601
TMEM240	48	128	75	115	118
SSU72	4383	2867	3359	3562	3400
FNDC10	62	794	452	201	338
LOC105378586	3	15	4	5	8
MIB2	1119	1305	754	815	1318
LOC124903821	165	225	113	42	118
MMP23B	88	1069	298	506	541
CDK11B	4012	1341	1614	1507	1775
SLC35E2B	1057	2329	2118	1811	2480
MMP23A	8	43	30	20	14
CDK11A	1900	470	616	742	947
SLC35E2A	450	1270	1002	548	614
LOC112268218	1	1	1	0	2
NADK	2376	2036	2456	1375	1584
GNB1	20727	10543	20236	10936	13574
GNB1-DT	20	8	16	23	19
LOC124903822	7	17	7	9	18
CALML6	1	9	3	5	7
TMEM52	46	13	14	10	10
CFAP74	5	0	3	5	1
LOC107984872	1	0	0	0	0
LOC105378589	4	0	2	0	0
GABRD	2	0	7	4	3
LOC105378590	2	0	2	1	0
PRKCZ	1455	298	496	1027	939
PRKCZ-DT	3	0	2	0	1
PRKCZ-AS1	68	58	86	68	71
FAAP20	1143	1777	1659	1367	1351
LOC112268219	141	149	155	87	148
LOC105378593	2	7	0	8	5
LOC124903823	3	0	0	1	0
SKI	9374	3883	4196	1986	3563
LOC124903824	22	55	48	60	101
MORN1	68	196	174	194	252
LOC100129534	4	55	31	55	91
RER1	4011	2100	2555	1984	2773
PEX10	319	496	421	557	682
PLCH2	19	21	29	25	28
PANK4	1837	946	962	1359	1519
HES5	0	0	1	112	5
TNFRSF14-AS1	2	1	0	0	0
TNFRSF14	3	0	2	2	3
LOC100996583	1	0	1	0	0
PRXL2B	866	676	1149	747	678
MMEL1	2	4	4	2	7
MMEL1-AS1	4	0	1	1	0
TTC34	4	29	19	22	20
LOC105378602	0	0	0	0	0
LOC105378601	0	0	0	0	0
LOC112268220	0	0	0	0	0
LOC107985732	0	0	0	0	0
LOC105378600	0	0	0	0	0
LOC105378598	0	0	0	0	0
LOC107984904	0	0	0	0	0
LOC105378599	0	0	0	0	0
LOC124903825	0	0	0	1	0
LOC124903826	0	0	0	0	0
ACTRT2	0	0	0	0	0
LOC124903827	7	45	28	691	556
PRDM16-DT	0	0	0	0	0
PRDM16	41	171	80	1502	1183
MIR4251	0	2	0	0	0
LOC105378606	0	1	0	1	0
LOC107984909	3	4	3	38	23
LOC105378605	0	0	0	0	2
LOC124903828	4	17	5	60	52
LOC105378604	2	4	5	102	96
ARHGEF16	387	100	511	141	43
MEGF6	499	5269	2047	1094	1649
LOC105378608	1	0	3	0	0
MIR551A	0	0	0	0	0
TPRG1L	2547	1459	1681	1130	1711
WRAP73	926	367	386	320	282
TP73	20	17	23	13	19
TP73-AS3	4	0	2	2	0
TP73-AS1	1391	1396	1348	1292	1533
CCDC27	5	23	7	33	43
SMIM1	30	258	36	203	111
LRRC47	4150	2151	2357	3073	3153
CEP104	2402	540	995	1101	1293
LOC124903829	10	3	6	5	6
DFFB	329	111	219	94	129
C1orf174	767	507	818	363	408
LINC01134	16	8	16	9	12
LINC01346	0	0	0	0	0
LINC01345	0	0	1	0	0
LINC01777	1	1	0	2	1
LOC105376674	0	0	0	0	0
LOC124904578	0	0	0	0	0
LINC01646	3	0	0	1	1
AJAP1	30	46	21	212	77
LINC02781	4	0	0	0	0
LOC124904589	0	0	0	0	0
LOC102724429	0	0	0	0	0
LINC02782	0	0	0	0	0
LOC105376682	0	0	0	0	0
LOC124904590	0	0	0	0	0
LOC107984911	0	0	1	0	0
LOC105376686	0	0	0	1	1
LOC124900451	0	0	0	0	0
LOC124903830	1	0	0	0	0
MIR4689	0	0	0	0	0
NPHP4	275	331	364	278	336
KCNAB2	92	194	65	143	201
LOC124903831	1	0	0	0	0
CHD5	111	141	23	106	50
RPL22	6443	8707	6235	8672	9964
RNF207-AS1	26	53	19	116	76
RNF207	444	2681	569	3751	4349
ICMT	2042	2358	3492	2535	2808
ICMT-DT	7	1	21	17	4
HES3	2	0	0	3	0
GPR153	449	1039	402	486	490
ACOT7	1989	1044	2463	1344	1013
HES2	11	0	18	11	4
ESPN	20	0	10	6	4
MIR4252	0	0	0	0	0
TNFRSF25	225	155	101	102	128
PLEKHG5	759	594	487	462	600
NOL9	2023	620	966	1219	1220
TAS1R1	11	2	2	2	2
LOC107984912	2	0	0	0	0
ZBTB48	981	377	468	686	721
KLHL21	4190	2715	2270	3852	3993
LOC107984913	84	62	23	81	74
PHF13	1186	1116	1527	1192	1519
THAP3	879	347	394	563	605
DNAJC11	2129	979	1261	1867	2114
LINC01672	0	0	1	0	0
LOC124904847	0	0	0	0	0
CAMTA1-DT	15	30	33	26	23
CAMTA1	2285	1173	1354	2364	1620
LOC124903832	42	3	7	18	21
CAMTA1-AS3	0	0	1	0	0
LOC124900385	3	1	0	1	1
CAMTA1-AS2	0	0	0	0	0
CAMTA1-AS1	2	0	0	0	0
LOC105376691	0	2	0	0	11
LOC105376689	32	12	45	64	25
VAMP3	3000	1497	2583	2313	2956
PER3	113	183	59	593	686
LOC124903833	3	0	2	4	6
UTS2	2	1	9	0	1
TNFRSF9	14	1	873	10	17
PARK7	6280	4656	5378	6303	6371
LOC124903834	33	14	76	10	10
ERRFI1	3106	3787	12523	831	1847
ERRFI1-DT	11	6	16	5	2
LOC107984915	7	0	1	1	1
LINC01714	2	4	1	1	1
LOC105376695	6	0	1	1	1
LOC124903835	2	0	1	0	0
SLC45A1	63	174	84	49	77
RERE	5509	6694	8230	4400	6498
RERE-AS1	3	0	0	6	3
SNORD128	2	0	0	0	0
LOC124900452	5	0	1	0	0
ENO1	28556	18475	45678	18942	20856
MIR6728	0	0	0	0	0
ENO1-AS1	46	21	38	16	33
LOC112268261	1	0	4	3	0
CA6	8	0	0	0	0
SLC2A7	12	2	6	1	1
SLC2A5	12	4	48	8	9
LOC124900441	0	0	0	0	0
GPR157	631	155	494	81	175
MIR34AHG	745	373	302	440	489
MIR34A	0	0	0	0	0
LNCTAM34A	35	40	39	77	82
H6PD	598	3449	1647	1555	3154
LOC124903836	6	6	9	4	6
SPSB1	1802	3385	4418	152	1623
LINC02606	9	53	17	17	43
SLC25A33	818	266	515	639	603
TMEM201	517	502	623	700	833
LOC124903837	14	1	2	4	5
PIK3CD	299	343	678	266	393
LOC105376712	0	0	0	0	0
PIK3CD-AS1	1	0	0	1	0
PIK3CD-AS2	62	55	37	54	43
LOC124903839	0	0	3	0	1
CLSTN1	4239	6030	4304	2666	3761
CTNNBIP1	504	863	843	1481	1461
LOC105376717	1	0	0	1	1
LOC124903838	1	0	3	1	4
LZIC	1891	808	1070	2051	1879
NMNAT1	1057	433	339	589	730
TMEM274P	3	2	0	3	7
MIR5697	0	0	0	1	2
LOC124903840	0	0	0	0	0
RBP7	147	95	26	23	28
UBE4B	2571	1843	1759	2292	2962
KIF1B	6031	2388	4085	8257	8625
PGD	3432	3597	4983	4090	4012
CENPS-CORT	8	0	1	2	3
CENPS	19	3	12	12	27
CORT	46	6	8	14	23
DFFA	5787	1561	2820	2502	3104
PEX14	1911	827	911	969	1244
CASZ1	1497	851	1007	3387	3521
LOC105376733	0	0	0	0	0
LOC105376735	0	0	0	0	0
C1orf127	11	9	3	17	23
TARDBP	6515	2833	5160	6432	6134
MASP2	120	63	55	81	103
SRM	5603	2173	4463	1094	2058
EXOSC10	2025	1071	1936	2945	2388
EXOSC10-AS1	8	2	2	7	2
MTOR	4232	1693	2297	2939	3108
MTOR-AS1	3	0	0	0	0
LOC124904848	0	0	0	0	0
ANGPTL7	11	9	17	61	46
UBIAD1	1663	512	623	1059	1300
LOC105376737	0	0	0	10	0
LOC105376739	2	0	0	1	0
LOC105376740	7	0	2	0	3
LOC124903841	0	0	0	0	0
DISP3	31	6	12	249	15
LOC124903842	0	0	0	2	1
LINC01647	0	0	2	1	0
FBXO2	5708	1109	1702	160	396
FBXO44	1001	1099	624	846	885
FBXO6	334	107	107	127	224
MAD2L2	1230	815	1181	1279	945
DRAXIN	18	8	34	1162	34
AGTRAP	638	732	567	651	648
C1orf167	3	0	4	1	1
C1orf167-AS1	3	1	0	0	1
MTHFR	685	1259	651	2009	2277
CLCN6	1729	522	950	1320	1188
NPPA-AS1	10	1	18	7	23
NPPA	1412	1085	766	31401	26974
NPPB	14641	808	14603	23824	11661
RNU5E-1	5	1	4	12	3
LOC124903843	9	4	2	18	13
KIAA2013	4423	2331	2850	1464	1962
PLOD1	7387	14714	9556	3536	7727
MFN2	9154	4424	4565	11404	12216
MIIP	567	601	1085	1120	784
MIR6729	0	0	0	0	0
TNFRSF8	12	15	10	3	9
MIR7846	0	0	0	0	0
TNFRSF1B	25	70	72	25	50
LOC124903844	0	0	0	0	0
MIR4632	0	0	0	0	0
VPS13D	1585	1492	1198	2884	4658
LOC124903845	1	2	0	1	5
SNORA59A	3	5	2	5	11
LINC02766	12	6	4	5	3
DHRS3	2339	10339	1518	2263	6636
MIR6730	4	23	5	2	4
AADACL4	2	0	1	3	5
LOC124903846	1	0	0	0	0
AADACL3	2	0	1	0	0
LOC124904811	0	0	0	0	0
CFAP107	1	0	2	2	4
PRAMEF12	0	0	1	0	1
PRAMEF1	0	0	1	0	0
LINC01784	0	0	0	0	0
PRAMEF11	0	0	1	1	0
HNRNPCL1	5	0	1	3	2
PRAMEF2	0	0	2	0	0
PRAMEF4	1	0	2	0	0
PRAMEF10	3	0	2	3	1
PRAMEF7	0	0	0	0	0
PRAMEF6	2	0	0	0	0
PRAMEF27	1	0	0	0	0
HNRNPCL3	0	0	0	1	0
PRAMEF25	0	0	0	0	0
PRAMEF34P	0	0	0	0	0
HNRNPCL2	1	0	4	0	0
PRAMEF36P	0	0	0	0	0
PRAMEF26	0	0	0	0	0
HNRNPCL4	0	0	0	3	4
PRAMEF9	4	0	2	0	0
PRAMEF13	0	0	0	0	0
PRAMEF18	0	0	0	0	0
PRAMEF5	0	0	0	0	0
PRAMEF8	0	0	1	0	0
PRAMEF33	2	0	0	2	0
PRAMEF15	3	0	0	0	0
PRAMEF14	0	0	0	0	0
PRAMEF19	2	0	0	0	0
PRAMEF17	3	0	0	0	0
PRAMEF20	3	0	0	0	1
LRRC38	3	0	20	1	1
LOC102724856	0	3	0	0	0
LOC107984918	0	0	0	0	0
PDPN	1722	3952	3114	2214	2657
LOC105378612	3	0	1	0	0
LOC105376756	0	0	0	0	0
LOC124900446	0	0	0	0	0
PRDM2	2076	1022	1703	1739	2057
KAZN	497	1008	725	549	845
LOC107985467	22	1	5	11	5
LOC124903847	15	0	0	5	0
KAZN-AS1	0	0	0	1	0
LOC124903850	7	0	3	2	2
LOC105376759	4	0	0	0	0
LOC124903848	9	16	10	13	4
LOC107985469	0	1	0	0	2
LOC124903849	0	0	0	0	0
TMEM51-AS1	7	7	11	10	24
TMEM51	238	474	758	268	592
TMEM51-AS2	1	0	0	2	1
FHAD1	10	7	10	13	27
LOC124903853	0	0	1	2	1
LOC124903852	1	1	0	0	5
FHAD1-AS1	4	0	2	3	5
LOC124903851	1	1	2	0	1
EFHD2-AS1	5	0	2	7	7
EFHD2	1817	1030	1642	447	940
CTRC	11	0	3	3	0
CELA2A	1	0	3	2	1
LOC105376767	3	0	2	3	0
CELA2B	7	5	3	5	12
CASP9	551	434	228	480	720
DNAJC16	773	486	745	700	1036
SCARNA21B	0	0	0	0	0
AGMAT	36	9	45	10	12
LOC124903854	5	7	4	1	1
DDI2	1415	584	1086	958	1383
RSC1A1	0	0	0	0	1
PLEKHM2	7936	2873	2993	3761	4837
SLC25A34	59	55	53	53	85
SLC25A34-AS1	1	0	0	0	1
TMEM82	2	1	7	0	0
FBLIM1	3756	3260	6691	3134	5009
UQCRHL	49	18	29	98	52
SPEN-AS1	266	379	263	505	544
SPEN	4951	1121	2495	2207	2941
LOC124904815	0	0	0	0	0
ZBTB17	1286	891	1146	1077	1538
LOC124903855	40	4	18	32	20
SRARP	1	0	2	1	0
HSPB7	5362	16503	5423	63599	61396
CLCNKA	22	53	27	129	110
CLCNKB	72	138	41	266	292
FAM131C	14	39	15	83	74
EPHA2	11095	2015	6479	3845	5317
EPHA2-AS1	141	44	51	95	95
ARHGEF19	326	387	282	62	207
ANO7L1	11	13	13	12	13
CPLANE2	290	178	182	144	196
FBXO42	2462	928	1069	1662	1769
SZRD1	7931	3426	5071	3995	5090
SPATA21	9	3	2	3	3
NECAP2	3662	1389	2494	765	1405
LINC01772	17	10	10	31	46
CROCCP3	74	223	102	175	251
RNU1-1	2	1	1	1	0
TRN-GTT5-1	0	0	0	0	0
LINC01783	2	2	0	7	4
TRE-TTC4-1	0	0	0	0	0
LOC124903856	0	0	0	0	0
TRG-CCC1-1	0	0	1	0	0
NBPF1	408	833	616	488	612
LOC124900584	751	432	438	476	473
CROCCP2	259	148	126	179	235
MST1P2	74	49	39	30	75
RNU1-3	0	0	0	0	0
LOC124903857	0	0	0	0	0
TRG-CCC4-1	0	0	0	0	0
ESPNP	5	0	1	0	0
LOC124903858	0	0	0	0	0
TRG-CCC5-1	0	0	0	0	0
LOC124903859	2	1	0	0	2
RNU1-4	0	0	0	0	0
MST1L	19	18	13	2	8
MIR3675	0	0	0	0	0
TRG-CCC1-2	0	0	0	0	0
LOC112267871	4	4	3	20	14
TRE-TTC3-1	0	0	0	0	0
LOC105376805	93	51	39	32	10
TRN-GTT4-1	0	0	0	0	0
RNU1-2	9	0	9	3	2
CROCC	570	1370	518	276	713
MFAP2	611	5074	1393	751	2602
LOC105376806	37	157	59	62	142
ATP13A2	2440	2049	2285	1294	2099
SDHB	2352	947	1101	2689	2580
PADI2	18	149	36	50	656
LOC124903861	0	0	0	0	0
LOC105376808	0	0	0	0	0
LINC02783	0	0	11	1	2
PADI1	3	45	23	0	9
PADI3	2	1	1	3	0
MIR3972	0	0	1	0	0
PADI4	1	0	2	0	0
PADI6	2	0	0	1	3
RCC2	4978	2146	4477	1694	2144
RCC2-AS1	0	0	0	0	0
LOC124903862	0	6	2	3	16
LOC124904837	1	0	0	0	0
ARHGEF10L	1071	1488	994	2245	1957
LINC02810	6	0	4	3	3
ACTL8	1	0	1	0	0
LOC105376809	1	0	2	0	0
LOC105376812	0	0	0	0	0
LINC01654	0	0	0	0	0
IGSF21	2	1	1	1	6
IGSF21-AS1	0	0	0	0	0
LOC124903864	0	0	0	0	0
LOC124903863	3	0	0	0	0
LOC124903865	0	3	1	1	12
KLHDC7A	123	2	17	6	20
PAX7	7	0	5	4	0
TAS1R2	6	0	0	1	0
ALDH4A1	453	1369	504	1563	2086
MIR4695	0	0	0	0	0
MIR1290	0	0	0	1	0
LOC124903866	4	8	3	26	11
IFFO2	1397	421	1095	384	705
LOC105376815	3	0	1	1	0
UBR4	24088	8275	7198	10834	13301
EMC1-AS1	57	23	20	31	35
EMC1	2551	1568	2262	1607	2339
MRTO4	2437	766	1859	1071	1084
AKR7L	28	3	11	17	12
AKR7A3	16	11	7	11	14
LOC124903867	29	13	18	29	37
LOC100506730	68	62	54	75	105
AKR7A2	699	1290	911	1071	1355
SLC66A1	2455	830	936	664	845
CAPZB	8288	6592	10358	7229	8272
LOC124903868	0	0	1	0	2
LOC124903869	1	0	1	0	0
LOC105376819	20	29	41	10	10
LOC105376818	0	0	0	0	0
LOC105376817	0	0	0	0	0
LOC124904816	0	0	0	1	2
MICOS10-DT	1	0	0	2	2
MICOS10-NBL1	0	0	0	0	0
MICOS10	1127	541	664	899	879
RPS14P3	25	29	30	63	48
NBL1	8	7	7	1	5
HTR6	4	1	2	1	2
TMCO4	75	34	74	36	51
RNF186	4	0	0	1	1
LOC105376823	0	0	0	0	0
OTUD3	1603	629	1045	721	1315
PLA2G2E	0	0	0	0	0
PLA2G2A	3	49	24	1	52
PLA2G5	1	7	1	10	37
PLA2G2D	4	0	1	1	0
PLA2G2F	0	0	1	0	0
LOC117779438	1	0	1	0	1
PLA2G2C	3	0	1	1	1
UBXN10	21	8	18	18	53
LOC105376825	1	2	1	0	0
LOC105376826	3	0	0	0	0
LINC01757	0	0	0	0	0
LOC105376828	0	0	0	0	0
VWA5B1	10	8	5	5	13
LOC124903870	0	2	0	0	1
LINC01141	2	0	1	3	1
LOC124903871	0	0	0	0	0
CAMK2N1	880	921	821	541	767
MUL1	3839	1191	1173	1480	1817
FAM43B	1	9	12	16	28
CDA	2	9	4	0	6
PINK1	1476	714	280	1042	1309
MIR6084	0	0	0	0	0
PINK1-AS	415	122	102	94	113
DDOST	17569	7876	7008	3646	5674
KIF17	374	36	219	62	61
SH2D5	711	23	201	224	228
HP1BP3	3822	3563	3924	4041	4927
EIF4G3	3365	2930	3157	3569	4582
LOC105376830	0	0	3	1	0
LOC105376829	6	1	0	0	0
MIR1256	0	0	0	0	0
ECE1	6237	5554	13209	3409	4224
LOC124903872	1	1	8	3	5
ECE1-AS1	4	3	5	4	8
LOC105376832	0	0	0	0	0
NBPF3	145	268	188	84	203
ALPL	31	32	45	92	58
LINC02596	0	0	2	0	0
RAP1GAP	263	168	241	211	251
USP48	1561	1450	1859	2482	2624
LDLRAD2	2	12	13	8	14
HSPG2	4667	18067	10005	12855	16146
CELA3B	5	0	6	2	0
CELA3A	2	0	1	0	0
LINC01635	9	6	11	5	17
LINC00339	195	281	211	273	255
CDC42	10547	7158	13073	9714	10419
WNT4	22	37	71	134	69
LOC105376845	70	6	3	9	10
LOC105376850	233	6	8	4	17
LOC107985377	0	0	0	0	0
MIR4418	1	0	0	0	1
LOC105376856	2	12	15	28	35
ZBTB40	3749	1081	1387	1509	1894
EPHA8	11	3	8	16	4
MIR6127	0	0	0	0	0
C1QA	3	0	0	1	4
C1QC	2	0	0	0	4
C1QB	0	0	0	0	2
EPHB2	1652	1872	4614	1101	3123
MIR4684	0	0	0	0	0
