	day32_rep1_wt	day32_rep2_wt	day32_rep1_mut	day32_rep2_mut
DDX11L1	0	0	0	0
WASH7P	9	15	6	11
MIR6859-1	0	1	0	0
MIR1302-2HG	0	0	0	0
MIR1302-2	0	0	0	0
FAM138A	0	0	0	0
OR4F5	0	0	0	0
LOC124903816	2	0	0	5
LOC124900384	3	5	3	3
LOC729737	56	47	50	63
LOC124903814	0	0	0	0
DDX11L17	1	0	1	0
LOC100996442	2	1	1	3
MIR6859-2	0	0	0	0
LOC127239154	31	25	37	43
LOC124903815	7	6	7	12
LOC124900618	0	0	0	0
LOC112268260	0	0	1	0
OR4F29	1	0	0	0
LOC100132287	9	12	9	12
LOC124904706	0	0	0	0
LOC105378947	0	0	2	0
LOC101928626	1	0	0	1
MIR12136	0	0	0	0
OR4F16	4	3	3	5
LOC100288069	59	59	71	59
LINC01409	60	64	86	63
LOC124903817	54	66	58	63
FAM87B	35	41	42	47
LINC00115	6	11	12	8
LINC01128	1165	1202	1264	1321
LOC107984850	6	4	2	7
FAM41C	3	1	2	4
LOC284600	6	14	5	4
LINC02593	2	1	4	1
LOC107985728	11	8	3	8
SAMD11	18	16	9	7
NOC2L	59	47	43	49
KLHL17	7	4	3	5
PLEKHN1	0	1	0	0
PERM1	0	0	0	0
HES4	8	8	7	8
ISG15	35	50	33	58
AGRN	233	242	333	312
LOC100288175	2	0	2	0
LOC105378948	0	0	1	0
RNF223	0	2	0	0
C1orf159	16	17	13	20
LOC124903819	0	0	0	0
LOC124903820	0	0	0	0
LINC01342	0	0	0	0
LOC124903818	0	0	0	0
MIR200B	0	0	0	0
MIR200A	0	0	0	0
MIR429	0	0	0	0
TTLL10-AS1	0	0	0	0
TTLL10	0	0	0	0
TNFRSF18	0	0	0	0
TNFRSF4	0	0	0	0
SDF4	177	179	155	160
B3GALT6	148	165	149	173
C1QTNF12	1	2	0	2
UBE2J2	82	104	78	90
SCNN1D	2	0	5	1
ACAP3	33	33	34	37
MIR6726	0	0	0	0
SNORD167	0	0	0	0
PUSL1	39	31	29	31
INTS11	86	90	61	65
MIR6727	0	0	0	0
CPTP	18	12	11	21
TAS1R3	2	1	1	0
DVL1	31	31	32	34
MIR6808	0	0	0	0
MXRA8	24	24	29	17
AURKAIP1	156	188	198	214
CCNL2	453	469	390	381
MRPL20-AS1	41	27	31	30
MRPL20	195	229	219	229
MRPL20-DT	31	43	21	24
ANKRD65	0	1	0	2
ANKRD65-AS1	0	0	0	0
TMEM88B	1	2	0	3
LINC01770	7	11	6	9
LOC107985729	0	0	0	2
VWA1	8	9	12	14
ATAD3C	0	1	0	0
ATAD3B	24	21	22	29
ATAD3A	34	44	42	46
TMEM240	0	1	4	1
SSU72	187	212	206	231
FNDC10	91	82	92	107
LOC105378586	2	2	2	0
MIB2	129	142	112	143
LOC124903821	0	0	1	0
MMP23B	9	7	2	0
CDK11B	115	112	104	113
SLC35E2B	333	388	365	339
MMP23A	0	0	0	0
CDK11A	41	42	26	43
SLC35E2A	180	185	153	187
LOC112268218	0	1	0	1
NADK	66	55	49	42
GNB1	1410	1534	1548	1522
GNB1-DT	5	5	5	2
LOC124903822	1	4	1	4
CALML6	0	1	0	0
TMEM52	3	0	1	3
CFAP74	0	2	1	1
LOC107984872	0	1	0	0
LOC105378589	0	0	0	0
GABRD	0	0	0	1
LOC105378590	0	0	0	0
PRKCZ	90	96	73	71
PRKCZ-DT	0	1	0	1
PRKCZ-AS1	14	21	10	19
FAAP20	33	43	41	41
LOC112268219	10	4	3	1
LOC105378593	1	1	0	0
LOC124903823	0	0	0	0
SKI	354	347	379	307
LOC124903824	9	8	3	3
MORN1	12	12	17	19
LOC100129534	6	7	7	7
RER1	310	325	343	376
PEX10	19	19	25	14
PLCH2	1	2	1	2
PANK4	126	130	126	142
HES5	0	0	0	0
TNFRSF14-AS1	0	0	0	0
TNFRSF14	2	0	0	1
LOC100996583	0	1	0	1
PRXL2B	113	104	142	156
MMEL1	0	0	1	0
MMEL1-AS1	0	1	1	0
TTC34	0	0	0	0
LOC105378602	0	0	0	0
LOC105378601	0	0	0	0
LOC112268220	0	0	0	0
LOC107985732	0	0	0	0
LOC105378600	0	0	0	0
LOC105378598	0	0	0	0
LOC107984904	0	0	0	0
LOC105378599	0	0	0	0
LOC124903825	0	0	0	0
LOC124903826	0	0	0	0
ACTRT2	0	0	0	0
LOC124903827	4	2	1	2
PRDM16-DT	0	0	0	0
PRDM16	46	46	16	8
MIR4251	0	0	0	0
LOC105378606	0	0	0	0
LOC107984909	0	1	0	0
LOC105378605	1	2	0	0
LOC124903828	28	22	20	11
LOC105378604	27	18	9	8
ARHGEF16	12	9	8	5
MEGF6	57	62	26	29
LOC105378608	0	0	0	0
MIR551A	0	0	0	0
